classifier,strategy,fold,sample_idx,true_class,bif_step,last_bif_step,start_step,target_class,orig_set,cf_set,found,neighbor_global_idx,neighbor_rank,var_indices,attempts,cost,dist_nn_orig_segment,dist_cf_orig,dist_cf_nn
ACM_SVM,all,1,0,0,16,10,10,3,"[0, 1, 2]","[1, 2, 3, 4]",True,751,31,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.15,0.05,0.15,0.0
ACM_SVM,all,1,0,0,16,10,10,4,"[0, 1, 2]","[1, 2, 3, 4]",True,1081,116,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.13125,0.04,0.13125,0.0
ACM_SVM,all,1,0,0,35,16,16,2,"[0, 1]","[1, 2]",True,582,99,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.09714285714285714,0.08125,0.09714285714285714,0.0
ACM_SVM,all,1,0,0,55,35,35,1,[0],[1],True,247,6,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.08363636363636363,0.07428571428571429,0.08363636363636363,0.0
ACM_SVM,all,1,1,0,14,10,10,3,"[0, 1, 2]","[1, 2, 3, 4]",True,737,17,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.12857142857142856,0.05,0.12857142857142856,0.0
ACM_SVM,all,1,1,0,14,10,10,4,"[0, 1, 2]","[1, 2, 3, 4]",True,1057,92,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.12857142857142856,0.03,0.12857142857142856,0.0
ACM_SVM,all,1,1,0,35,14,14,2,"[0, 1]","[1, 2]",True,557,74,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.08571428571428572,0.02857142857142857,0.08571428571428572,0.0
ACM_SVM,all,1,1,0,55,35,35,1,[0],[1],True,289,47,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.08181818181818182,0.06857142857142857,0.08181818181818182,0.0
ACM_SVM,all,1,2,0,14,10,10,3,"[0, 1, 2]","[1, 2, 3, 4]",True,832,109,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.10714285714285714,0.07,0.10714285714285714,0.0
ACM_SVM,all,1,2,0,14,10,10,4,"[0, 1, 2]","[1, 2, 3, 4]",True,1048,83,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.11428571428571428,0.08,0.11428571428571428,0.0
ACM_SVM,all,1,2,0,35,14,14,2,"[0, 1]","[1, 2]",True,525,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.09714285714285714,0.07857142857142857,0.09714285714285714,0.0
ACM_SVM,all,1,2,0,55,35,35,1,[0],[1],True,350,105,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.08545454545454545,0.05714285714285714,0.08545454545454545,0.0
ACM_SVM,all,1,3,0,15,10,10,3,"[0, 1, 2]","[1, 2, 3, 4]",True,858,132,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.09333333333333334,0.03,0.09333333333333334,0.0
ACM_SVM,all,1,3,0,15,10,10,4,"[0, 1, 2]","[1, 2, 3, 4]",True,1005,44,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.1,0.03,0.1,0.0
ACM_SVM,all,1,3,0,35,15,15,2,"[0, 1]","[1, 2]",True,649,162,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.08857142857142856,0.02666666666666667,0.08857142857142856,0.0
ACM_SVM,all,1,3,0,56,35,35,1,[0],[1],True,411,163,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.08214285714285714,0.06,0.08214285714285714,0.0
ACM_SVM,all,1,4,0,15,10,10,3,"[0, 1, 2]","[1, 2, 3, 4]",True,815,93,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.12,0.04,0.12,0.0
ACM_SVM,all,1,4,0,15,10,10,4,"[0, 1, 2]","[1, 2, 3, 4]",True,1171,200,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.10666666666666667,0.05,0.10666666666666667,0.0
ACM_SVM,all,1,4,0,34,15,15,2,"[0, 1]","[1, 2]",True,493,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.09705882352941177,0.05333333333333334,0.09705882352941177,0.0
ACM_SVM,all,1,4,0,55,34,34,1,[0],[1],True,301,58,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.09090909090909091,0.07941176470588235,0.09090909090909091,0.0
ACM_SVM,all,1,5,0,15,10,10,3,"[0, 1, 2]","[1, 2, 3, 4]",True,843,118,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.12666666666666668,0.06,0.12666666666666668,0.0
ACM_SVM,all,1,5,0,15,10,10,4,"[0, 1, 2]","[1, 2, 3, 4]",True,1048,84,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.12666666666666668,0.04,0.12666666666666668,0.0
ACM_SVM,all,1,5,0,35,15,15,2,"[0, 1]","[1, 2]",True,633,147,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.09142857142857143,0.07333333333333333,0.09142857142857143,0.0
ACM_SVM,all,1,5,0,55,35,35,1,[0],[1],True,273,31,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.07818181818181819,0.08,0.07818181818181819,0.0
ACM_SVM,all,1,6,0,15,10,10,3,"[0, 1, 2]","[1, 2, 3, 4]",True,933,203,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.10666666666666667,0.05,0.10666666666666667,0.0
