classifier,strategy,fold,sample_idx,true_class,bif_step,last_bif_step,start_step,target_class,orig_set,cf_set,found,neighbor_global_idx,neighbor_rank,var_indices,attempts,cost,dist_nn_orig_segment,dist_cf_orig,dist_cf_nn
ACM_SVM,greedy,1,0,0,16,10,10,3,"[0, 1, 2]","[1, 2, 3, 4]",True,758,38,"[1, 2, 3, 4, 6]",20,0.11875,0.07,0.11875,0.0375
ACM_SVM,greedy,1,0,0,16,10,10,4,"[0, 1, 2]","[1, 2, 4]",True,1135,168,[3],4,0.00625,0.08,0.00625,0.1375
ACM_SVM,greedy,1,0,0,35,16,16,2,"[0, 1]","[1, 2]",True,582,99,[6],5,0.008571428571428572,0.08125,0.008571428571428572,0.08857142857142856
ACM_SVM,greedy,1,0,0,55,35,35,1,[0],[1],True,354,109,[3],4,0.0018181818181818182,0.08571428571428572,0.0018181818181818182,0.08181818181818182
ACM_SVM,greedy,1,1,0,14,10,10,3,"[0, 1, 2]","[1, 2, 3, 4]",True,737,17,[4],4,0.014285714285714285,0.05,0.014285714285714285,0.11428571428571428
ACM_SVM,greedy,1,1,0,14,10,10,4,"[0, 1, 2]","[1, 2, 3, 4]",True,1057,92,[3],4,0.007142857142857143,0.03,0.007142857142857143,0.12142857142857143
ACM_SVM,greedy,1,1,0,35,14,14,2,"[0, 1]","[1, 2]",True,525,42,[5],4,0.008571428571428572,0.08571428571428572,0.008571428571428572,0.08571428571428572
ACM_SVM,greedy,1,1,0,55,35,35,1,[0],[1],True,384,138,[7],5,0.0018181818181818182,0.07428571428571429,0.0018181818181818182,0.08363636363636363
ACM_SVM,greedy,1,2,0,14,10,10,3,"[0, 1, 2]","[1, 2, 3, 4]",True,832,109,[3],4,0.007142857142857143,0.07,0.007142857142857143,0.1
ACM_SVM,greedy,1,2,0,14,10,10,4,"[0, 1, 2]","[1, 2, 3, 4]",True,1048,83,[4],5,0.007142857142857143,0.08,0.007142857142857143,0.10714285714285714
ACM_SVM,greedy,1,2,0,35,14,14,2,"[0, 1]","[1, 2]",True,525,42,[5],4,0.008571428571428572,0.07857142857142857,0.008571428571428572,0.08857142857142856
ACM_SVM,greedy,1,2,0,55,35,35,1,[0],[1],True,469,219,[3],4,0.0018181818181818182,0.08,0.0018181818181818182,0.09272727272727273
ACM_SVM,greedy,1,3,0,15,10,10,3,"[0, 1, 2]","[1, 2, 3, 4]",True,733,13,[4],5,0.013333333333333334,0.04,0.013333333333333334,0.09333333333333334
ACM_SVM,greedy,1,3,0,15,10,10,4,"[0, 1, 2]","[1, 2, 3, 4]",True,1005,44,[3],4,0.013333333333333334,0.03,0.013333333333333334,0.08666666666666667
ACM_SVM,greedy,1,3,0,35,15,15,2,"[0, 1]","[1, 2]",True,649,162,[5],4,0.011428571428571429,0.02666666666666667,0.011428571428571429,0.07714285714285714
ACM_SVM,greedy,1,3,0,56,35,35,1,[0],[1],True,374,129,[3],4,0.0017857142857142857,0.05714285714285714,0.0017857142857142857,0.08214285714285714
ACM_SVM,greedy,1,4,0,15,10,10,3,"[0, 1, 2]","[1, 2, 3, 4]",True,858,132,[3],4,0.006666666666666667,0.06,0.006666666666666667,0.11333333333333333
ACM_SVM,greedy,1,4,0,15,10,10,4,"[0, 1, 2]","[1, 2, 3, 4]",True,1171,200,[3],4,0.006666666666666667,0.05,0.006666666666666667,0.1
ACM_SVM,greedy,1,4,0,34,15,15,2,"[0, 1]","[1, 2]",True,524,39,[5],4,0.0058823529411764705,0.1,0.0058823529411764705,0.1
ACM_SVM,greedy,1,4,0,55,34,34,1,[0],[1],True,301,58,[4],4,0.0018181818181818182,0.07941176470588235,0.0018181818181818182,0.0890909090909091
ACM_SVM,greedy,1,5,0,15,10,10,3,"[0, 1, 2]","[1, 2, 3, 4]",True,843,118,[3],4,0.006666666666666667,0.06,0.006666666666666667,0.12
ACM_SVM,greedy,1,5,0,15,10,10,4,"[0, 1, 2]","[1, 2, 3, 4]",True,1183,212,[3],4,0.006666666666666667,0.03,0.006666666666666667,0.12666666666666668
ACM_SVM,greedy,1,5,0,35,15,15,2,"[0, 1]","[1, 2]",True,609,123,[5],4,0.008571428571428572,0.07333333333333333,0.008571428571428572,0.09142857142857143
ACM_SVM,greedy,1,5,0,55,35,35,1,[0],[1],True,273,31,[7],4,0.0018181818181818182,0.08,0.0018181818181818182,0.07636363636363637
ACM_SVM,greedy,1,6,0,15,10,10,3,"[0, 1, 2]","[1, 2, 3, 4]",True,933,203,[3],3,0.006666666666666667,0.05,0.006666666666666667,0.1
ACM_SVM,greedy,1,6,0,15,10,10,4,"[0, 1, 2]","[1, 2, 3, 4]",True,1036,73,[3],4,0.013333333333333334,0.06,0.013333333333333334,0.1
ACM_SVM,greedy,1,6,0,35,15,15,2,"[0, 1]","[1, 2]",True,643,156,[5],4,0.008571428571428572,0.05333333333333334,0.008571428571428572,0.08
ACM_SVM,greedy,1,6,0,56,35,35,1,[0],[1],True,457,208,[7],6,0.0017857142857142857,0.07428571428571429,0.0017857142857142857,0.08392857142857142
ACM_SVM,greedy,1,7,0,14,10,10,3,"[0, 1, 2]","[1, 2, 3, 4]",True,843,119,[4],5,0.007142857142857143,0.08,0.007142857142857143,0.12142857142857143
ACM_SVM,greedy,1,7,0,14,10,10,4,"[0, 1, 2]","[1, 2, 3, 4]",True,1079,112,[3],4,0.014285714285714285,0.04,0.014285714285714285,0.1
