classifier,strategy,fold,sample_idx,true_class,bif_step,last_bif_step,start_step,target_class,orig_set,cf_set,found,neighbor_global_idx,neighbor_rank,var_indices,attempts,cost,dist_nn_orig_segment,dist_cf_orig,dist_cf_nn
ACM_SVM,random,1,0,0,16,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,0,0,16,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,0,0,35,16,16,2,"[0, 1]",,False,,,,0,,,,
ACM_SVM,random,1,0,0,55,35,35,1,[0],[1],True,247.0,6.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.08363636363636363,0.07428571428571429,0.08363636363636363,0.0
ACM_SVM,random,1,1,0,14,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,1,0,14,10,10,4,"[0, 1, 2]","[1, 2, 4]",True,1057.0,92.0,"[0, 6, 8, 1, 9, 5, 2, 7]",1,0.1,0.03,0.1,0.02857142857142857
ACM_SVM,random,1,1,0,35,14,14,2,"[0, 1]",,False,,,,0,,,,
ACM_SVM,random,1,1,0,55,35,35,1,[0],[1],True,289.0,47.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.08181818181818182,0.06857142857142857,0.08181818181818182,0.0
ACM_SVM,random,1,2,0,14,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,2,0,14,10,10,4,"[0, 1, 2]","[1, 2, 4]",True,1048.0,83.0,"[0, 6, 8, 1, 9, 5, 2, 7]",1,0.09285714285714286,0.08,0.09285714285714286,0.02142857142857143
ACM_SVM,random,1,2,0,35,14,14,2,"[0, 1]",,False,,,,0,,,,
ACM_SVM,random,1,2,0,55,35,35,1,[0],[1],True,350.0,105.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.08545454545454545,0.05714285714285714,0.08545454545454545,0.0
ACM_SVM,random,1,3,0,15,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,3,0,15,10,10,4,"[0, 1, 2]","[1, 2, 4]",True,1005.0,44.0,"[0, 6, 8, 1, 9, 5, 2, 7]",1,0.07333333333333333,0.03,0.07333333333333333,0.02666666666666667
ACM_SVM,random,1,3,0,35,15,15,2,"[0, 1]",,False,,,,0,,,,
ACM_SVM,random,1,3,0,56,35,35,1,[0],[1],True,411.0,163.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.08214285714285714,0.06,0.08214285714285714,0.0
ACM_SVM,random,1,4,0,15,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,4,0,15,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,4,0,34,15,15,2,"[0, 1]",,False,,,,0,,,,
ACM_SVM,random,1,4,0,55,34,34,1,[0],[1],True,301.0,58.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.09090909090909091,0.07941176470588235,0.09090909090909091,0.0
ACM_SVM,random,1,5,0,15,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,5,0,15,10,10,4,"[0, 1, 2]","[1, 2, 4]",True,1048.0,84.0,"[0, 6, 8, 1, 9, 5, 2, 7]",1,0.1,0.04,0.1,0.02666666666666667
ACM_SVM,random,1,5,0,35,15,15,2,"[0, 1]",,False,,,,0,,,,
ACM_SVM,random,1,5,0,55,35,35,1,[0],[1],True,273.0,31.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.07818181818181819,0.08,0.07818181818181819,0.0
ACM_SVM,random,1,6,0,15,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,6,0,15,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,6,0,35,15,15,2,"[0, 1]",,False,,,,0,,,,
ACM_SVM,random,1,6,0,56,35,35,1,[0],[1],True,457.0,208.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.08571428571428572,0.07428571428571429,0.08571428571428572,0.0
ACM_SVM,random,1,7,0,14,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,7,0,14,10,10,4,"[0, 1, 2]","[1, 2, 4]",True,1079.0,112.0,"[0, 6, 8, 1, 9, 5, 2, 7]",1,0.09285714285714286,0.04,0.09285714285714286,0.02142857142857143
ACM_SVM,random,1,7,0,35,14,14,2,"[0, 1]",,False,,,,0,,,,
ACM_SVM,random,1,7,0,56,35,35,1,[0],[1],True,316.0,74.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.08571428571428572,0.06571428571428571,0.08571428571428572,0.0
ACM_SVM,random,1,8,0,14,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,8,0,14,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,8,0,33,14,14,0,[1],"[0, 1]",True,89.0,85.0,"[6, 2]",1,0.030303030303030304,0.05714285714285714,0.030303030303030304,0.048484848484848485
ACM_SVM,random,1,8,0,33,14,14,2,[1],"[1, 2]",True,568.0,82.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.1,0.07857142857142857,0.1,0.0
ACM_SVM,random,1,8,0,56,33,33,1,[0],[1],True,411.0,163.0,"[2, 5, 9, 4, 8, 7, 0, 3, 1]",1,0.08035714285714286,0.08181818181818182,0.08035714285714286,0.0
ACM_SVM,random,1,9,0,15,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,9,0,15,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,9,0,34,15,15,2,"[0, 1]",,False,,,,0,,,,
ACM_SVM,random,1,9,0,55,34,34,1,[0],[1],True,393.0,147.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.0890909090909091,0.06470588235294118,0.0890909090909091,0.0
ACM_SVM,random,1,10,0,14,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,10,0,14,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,10,0,35,14,14,2,"[0, 1]",,False,,,,0,,,,
ACM_SVM,random,1,10,0,57,35,35,1,[0],[1],True,324.0,80.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.08596491228070176,0.06857142857142857,0.08596491228070176,0.0
ACM_SVM,random,1,11,0,14,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,11,0,14,10,10,4,"[0, 1, 2]","[1, 2, 4]",True,1042.0,78.0,"[0, 6, 8, 1, 9, 5, 2, 7]",1,0.09285714285714286,0.05,0.09285714285714286,0.02142857142857143
ACM_SVM,random,1,11,0,35,14,14,2,"[0, 1]",,False,,,,0,,,,
ACM_SVM,random,1,11,0,55,35,35,1,[0],[1],True,438.0,189.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.08545454545454545,0.07428571428571429,0.08545454545454545,0.0
ACM_SVM,random,1,12,0,15,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,12,0,15,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,12,0,35,15,15,1,[0],"[0, 1]",True,255.0,13.0,"[6, 2]",1,0.017142857142857144,0.05333333333333334,0.017142857142857144,0.04285714285714286
ACM_SVM,random,1,12,0,35,15,15,2,[0],"[1, 2]",True,521.0,38.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.08857142857142856,0.07333333333333333,0.08857142857142856,0.0
ACM_SVM,random,1,13,0,16,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,13,0,16,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,13,0,35,16,16,2,"[0, 1]",,False,,,,0,,,,
ACM_SVM,random,1,13,0,56,35,35,1,[0],[1],True,351.0,107.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.08035714285714286,0.07428571428571429,0.08035714285714286,0.0
ACM_SVM,random,1,14,0,15,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,14,0,15,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,14,0,35,15,15,2,"[0, 1]",,False,,,,0,,,,
ACM_SVM,random,1,14,0,55,35,35,1,[0],[1],True,240.0,0.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.07818181818181819,0.054285714285714284,0.07818181818181819,0.0
ACM_SVM,random,1,15,0,16,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,15,0,16,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,15,0,34,16,16,2,"[0, 1]","[1, 2]",True,552.0,67.0,"[6, 2]",1,0.03235294117647059,0.09375,0.03235294117647059,0.06470588235294118
ACM_SVM,random,1,15,0,55,34,34,1,[0],[1],True,354.0,109.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.0890909090909091,0.08529411764705883,0.0890909090909091,0.0
ACM_SVM,random,1,16,0,14,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,16,0,14,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,16,0,34,14,14,2,"[0, 1]",,False,,,,0,,,,
ACM_SVM,random,1,16,0,57,34,34,1,[0],[1],True,347.0,102.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.09824561403508772,0.07352941176470588,0.09824561403508772,0.0
ACM_SVM,random,1,17,0,15,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,17,0,15,10,10,4,"[0, 1, 2]","[1, 2, 4]",True,965.0,5.0,"[0, 6, 8, 1, 9, 5, 2, 7]",1,0.1,0.07,0.1,0.03333333333333333
ACM_SVM,random,1,17,0,35,15,15,2,"[0, 1]",,False,,,,0,,,,
ACM_SVM,random,1,17,0,57,35,35,1,[0],[1],True,354.0,108.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.08421052631578947,0.08857142857142856,0.08421052631578947,0.0
ACM_SVM,random,1,18,0,16,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,18,0,16,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,18,0,34,16,16,2,"[0, 1]",,False,,,,0,,,,
ACM_SVM,random,1,18,0,54,34,34,1,[0],[1],True,371.0,128.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.07037037037037037,0.061764705882352944,0.07037037037037037,0.0
ACM_SVM,random,1,19,0,34,10,10,2,"[0, 1]","[1, 2]",True,643.0,154.0,"[5, 0, 9, 6, 2, 1, 8]",1,0.08823529411764706,0.08,0.08823529411764706,0.0
ACM_SVM,random,1,19,0,56,34,34,1,[0],[1],True,260.0,19.0,"[0, 6, 8, 1, 9, 5, 2, 7]",1,0.0875,0.08823529411764706,0.0875,0.0017857142857142857
ACM_SVM,random,1,20,0,14,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,20,0,14,10,10,4,"[0, 1, 2]","[1, 2, 4]",True,1005.0,44.0,"[0, 6, 8, 1, 9, 5, 2, 7]",1,0.08571428571428572,0.05,0.08571428571428572,0.02142857142857143
ACM_SVM,random,1,20,0,35,14,14,2,"[0, 1]",,False,,,,0,,,,
ACM_SVM,random,1,20,0,56,35,35,1,[0],[1],True,262.0,21.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.075,0.05714285714285714,0.075,0.0
ACM_SVM,random,1,21,0,15,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,21,0,15,10,10,4,"[0, 1, 2]","[1, 2, 4]",True,966.0,6.0,"[0, 6, 8, 1, 9, 5, 2, 7]",1,0.07333333333333333,0.02,0.07333333333333333,0.03333333333333333
ACM_SVM,random,1,21,0,32,15,15,2,"[0, 1]",,False,,,,0,,,,
ACM_SVM,random,1,21,0,56,32,32,1,[0],[1],True,260.0,19.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.08571428571428572,0.071875,0.08571428571428572,0.0
ACM_SVM,random,1,22,0,14,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,22,0,14,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,22,0,35,14,14,2,"[0, 1]",,False,,,,0,,,,
ACM_SVM,random,1,22,0,56,35,35,1,[0],[1],True,394.0,146.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.08392857142857142,0.07142857142857142,0.08392857142857142,0.0
ACM_SVM,random,1,23,0,15,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,23,0,15,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,23,0,35,15,15,2,"[0, 1]",,False,,,,0,,,,
ACM_SVM,random,1,23,0,54,35,35,1,[0],"[0, 1]",True,354.0,111.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.07592592592592592,0.07714285714285714,0.07592592592592592,0.0
ACM_SVM,random,1,24,0,15,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,24,0,15,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,24,0,35,15,15,2,"[0, 1]",,False,,,,0,,,,
ACM_SVM,random,1,24,0,58,35,35,1,[0],[1],True,255.0,13.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.09655172413793103,0.07714285714285714,0.09655172413793103,0.0
ACM_SVM,random,1,25,0,14,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,25,0,14,10,10,4,"[0, 1, 2]","[1, 2, 4]",True,1186.0,215.0,"[0, 6, 8, 1, 9, 5, 2, 7]",1,0.10714285714285714,0.05,0.10714285714285714,0.02142857142857143
ACM_SVM,random,1,25,0,34,14,14,2,"[0, 1]","[1, 2]",True,517.0,32.0,"[6, 2]",1,0.03235294117647059,0.1,0.03235294117647059,0.061764705882352944
ACM_SVM,random,1,25,0,55,34,34,1,[0],[1],True,400.0,154.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.08363636363636363,0.07058823529411765,0.08363636363636363,0.0
ACM_SVM,random,1,26,0,14,10,10,2,"[0, 1]","[0, 1, 2]",True,562.0,77.0,"[5, 0, 9, 6, 2, 1, 8]",1,0.05,0.05,0.05,0.0
ACM_SVM,random,1,26,0,14,10,10,3,"[0, 1]",,False,,,,0,,,,
ACM_SVM,random,1,26,0,14,10,10,4,"[0, 1]",,False,,,,0,,,,
ACM_SVM,random,1,26,0,35,14,14,2,"[0, 1]","[1, 2]",True,582.0,99.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.08857142857142856,0.07857142857142857,0.08857142857142856,0.0
ACM_SVM,random,1,26,0,55,35,35,1,[0],[1],True,354.0,109.0,"[2, 5, 9, 4, 8, 7, 0, 3, 1]",1,0.06909090909090909,0.054285714285714284,0.06909090909090909,0.0
ACM_SVM,random,1,27,0,15,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,27,0,15,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,27,0,35,15,15,2,"[0, 1]",,False,,,,0,,,,
ACM_SVM,random,1,27,0,55,35,35,1,[0],[1],True,333.0,88.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.08363636363636363,0.07714285714285714,0.08363636363636363,0.0
ACM_SVM,random,1,28,0,14,10,10,1,"[0, 2]","[0, 1, 2]",True,255.0,13.0,"[5, 0, 9, 6, 2, 1, 8]",1,0.04285714285714286,0.03,0.04285714285714286,0.0
ACM_SVM,random,1,28,0,14,10,10,3,"[0, 2]",,False,,,,0,,,,
ACM_SVM,random,1,28,0,14,10,10,4,"[0, 2]",,False,,,,0,,,,
ACM_SVM,random,1,28,0,34,14,14,2,"[0, 1]","[1, 2]",True,498.0,15.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.08235294117647059,0.02857142857142857,0.08235294117647059,0.0
ACM_SVM,random,1,28,0,55,34,34,1,[0],[1],True,438.0,189.0,"[2, 5, 9, 4, 8, 7, 0, 3, 1]",1,0.07818181818181819,0.05588235294117647,0.07818181818181819,0.0
ACM_SVM,random,1,29,0,18,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,29,0,35,18,18,2,"[0, 1]","[1, 2]",True,608.0,122.0,"[0, 6, 8, 1, 9, 5, 2, 7]",1,0.10571428571428572,0.08888888888888889,0.10571428571428572,0.0
ACM_SVM,random,1,29,0,55,35,35,1,[0],,False,,,,0,,,,
ACM_SVM,random,1,30,0,16,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,30,0,16,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,30,0,35,16,16,2,"[0, 1]",,False,,,,0,,,,
ACM_SVM,random,1,30,0,56,35,35,1,[0],[1],True,385.0,138.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.09285714285714286,0.07714285714285714,0.09285714285714286,0.0
ACM_SVM,random,1,31,0,15,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,31,0,15,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
ACM_SVM,random,1,31,0,34,15,15,2,"[0, 1]",,False,,,,0,,,,
