classifier,strategy,fold,sample_idx,true_class,bif_step,last_bif_step,start_step,target_class,orig_set,cf_set,found,neighbor_global_idx,neighbor_rank,var_indices,attempts,cost,dist_nn_orig_segment,dist_cf_orig,dist_cf_nn
CASIM,all,1,0,0,14,10,10,0,"[1, 2]","[0, 1, 2]",True,14,12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.07142857142857142,0.08,0.07142857142857142,0.0
CASIM,all,1,0,0,14,10,10,3,"[1, 2]","[3, 4]",True,748,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.12142857142857143,0.07,0.12142857142857143,0.0
CASIM,all,1,0,0,14,10,10,4,"[1, 2]","[0, 1, 2, 4]",True,1081,116,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.10714285714285714,0.04,0.10714285714285714,0.0
CASIM,all,1,0,0,34,14,14,2,"[0, 1]",[2],True,641,153,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.08235294117647059,0.05,0.08235294117647059,0.0
CASIM,all,1,0,0,56,34,34,1,[0],[1],True,247,6,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.08214285714285714,0.07352941176470588,0.08214285714285714,0.0
CASIM,all,1,1,0,14,10,10,3,"[0, 1, 2]","[3, 4]",True,833,109,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.12142857142857143,0.05,0.12142857142857143,0.0
CASIM,all,1,1,0,14,10,10,4,"[0, 1, 2]","[3, 4]",True,1057,93,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.12857142857142856,0.03,0.12857142857142856,0.0
CASIM,all,1,1,0,34,14,14,1,[0],"[0, 1]",True,297,54,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.052941176470588235,0.07142857142857142,0.052941176470588235,0.0
CASIM,all,1,1,0,34,14,14,2,[0],[2],True,557,72,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.08529411764705883,0.02857142857142857,0.08529411764705883,0.0
CASIM,all,1,1,0,55,34,34,1,[0],[1],True,262,21,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.08363636363636363,0.07647058823529412,0.08363636363636363,0.0
CASIM,all,1,2,0,14,10,10,2,"[0, 1]","[0, 1, 2]",True,713,222,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.05714285714285714,0.08,0.05714285714285714,0.0
