classifier,strategy,fold,sample_idx,true_class,bif_step,last_bif_step,start_step,target_class,orig_set,cf_set,found,neighbor_global_idx,neighbor_rank,var_indices,attempts,cost,dist_nn_orig_segment,dist_cf_orig,dist_cf_nn
CASIM,greedy,1,0,0,14,10,10,0,"[1, 2]","[0, 1, 2]",True,182,175,[0],1,0.02142857142857143,0.07,0.02142857142857143,0.05
CASIM,greedy,1,0,0,14,10,10,3,"[1, 2]","[2, 3]",True,833,109,[4],5,0.007142857142857143,0.09,0.007142857142857143,0.12142857142857143
CASIM,greedy,1,0,0,14,10,10,4,"[1, 2]","[2, 3, 4]",True,1048,84,"[4, 6]",11,0.02142857142857143,0.08,0.02142857142857143,0.10714285714285714
CASIM,greedy,1,0,0,34,14,14,2,"[0, 1]",[2],True,641,153,"[5, 6]",9,0.014705882352941176,0.05,0.014705882352941176,0.06764705882352941
CASIM,greedy,1,0,0,56,34,34,1,[0],[1],True,354,108,"[3, 4]",10,0.005357142857142857,0.08529411764705883,0.005357142857142857,0.08035714285714286
CASIM,greedy,1,1,0,14,10,10,3,"[0, 1, 2]","[3, 4]",True,833,109,"[4, 6]",11,0.02142857142857143,0.05,0.02142857142857143,0.1
CASIM,greedy,1,1,0,14,10,10,4,"[0, 1, 2]","[0, 2, 4]",True,1057,93,[4],5,0.02142857142857143,0.03,0.02142857142857143,0.10714285714285714
CASIM,greedy,1,1,0,34,14,14,1,[0],"[0, 1]",True,297,54,[2],3,0.0058823529411764705,0.07142857142857142,0.0058823529411764705,0.047058823529411764
CASIM,greedy,1,1,0,34,14,14,2,[0],[2],True,531,46,"[5, 6]",9,0.01764705882352941,0.07857142857142857,0.01764705882352941,0.07352941176470588
CASIM,greedy,1,1,0,55,34,34,1,[0],[1],True,473,223,"[4, 7]",9,0.0036363636363636364,0.07647058823529412,0.0036363636363636364,0.08181818181818182
CASIM,greedy,1,2,0,14,10,10,2,"[0, 1]","[1, 2]",True,713,222,[0],1,0.02142857142857143,0.08,0.02142857142857143,0.03571428571428571
CASIM,greedy,1,2,0,14,10,10,3,"[0, 1]","[1, 3, 4]",True,843,119,"[3, 4]",10,0.014285714285714285,0.08,0.014285714285714285,0.09285714285714286
CASIM,greedy,1,2,0,14,10,10,4,"[0, 1]","[1, 4]",True,1048,84,[4],5,0.007142857142857143,0.08,0.007142857142857143,0.10714285714285714
CASIM,greedy,1,2,0,33,14,14,2,"[0, 1]",[2],True,582,96,[5],4,0.006060606060606061,0.07857142857142857,0.006060606060606061,0.08484848484848485
CASIM,greedy,1,2,0,55,33,33,1,[0],[1],True,469,219,"[3, 7]",9,0.0036363636363636364,0.07575757575757576,0.0036363636363636364,0.09090909090909091
CASIM,greedy,1,3,0,14,10,10,0,"[1, 2]","[0, 1, 2]",True,30,27,[0],1,0.007142857142857143,0.04,0.007142857142857143,0.03571428571428571
CASIM,greedy,1,3,0,14,10,10,3,"[1, 2]","[1, 2, 3, 4]",True,833,109,[4],5,0.007142857142857143,0.05,0.007142857142857143,0.07142857142857142
CASIM,greedy,1,3,0,14,10,10,4,"[1, 2]","[1, 2, 3, 4]",True,1005,42,[4],5,0.014285714285714285,0.03,0.014285714285714285,0.07142857142857142
CASIM,greedy,1,3,0,30,14,14,0,"[1, 2]","[0, 1, 2]",True,61,57,[0],1,0.01,0.07142857142857142,0.01,0.05333333333333334
CASIM,greedy,1,3,0,56,30,30,1,[0],[1],True,416,167,"[3, 4]",10,0.0035714285714285713,0.07,0.0035714285714285713,0.08928571428571429
CASIM,greedy,1,4,0,14,10,10,1,"[0, 2]","[0, 1, 2]",True,301,56,[0],1,0.007142857142857143,0.04,0.007142857142857143,0.02857142857142857
CASIM,greedy,1,4,0,14,10,10,3,"[0, 2]","[0, 3, 4]",True,946,216,"[3, 4]",10,0.014285714285714285,0.08,0.014285714285714285,0.1
CASIM,greedy,1,4,0,14,10,10,4,"[0, 2]","[0, 2, 4]",True,1048,84,[4],5,0.007142857142857143,0.07,0.007142857142857143,0.10714285714285714
CASIM,greedy,1,4,0,34,14,14,2,"[0, 1]",[2],True,524,39,"[0, 5, 6]",10,0.041176470588235294,0.1,0.041176470588235294,0.06470588235294118
CASIM,greedy,1,4,0,55,34,34,1,[0],[1],True,270,29,"[4, 7]",9,0.0036363636363636364,0.08235294117647059,0.0036363636363636364,0.08727272727272728
CASIM,greedy,1,5,0,14,10,10,3,"[0, 1, 2]","[3, 4]",True,833,109,"[4, 6]",11,0.02142857142857143,0.05,0.02142857142857143,0.09285714285714286
CASIM,greedy,1,5,0,14,10,10,4,"[0, 1, 2]","[0, 2, 4]",True,1048,84,[6],6,0.014285714285714285,0.04,0.014285714285714285,0.1
