classifier,strategy,fold,sample_idx,true_class,bif_step,last_bif_step,start_step,target_class,orig_set,cf_set,found,neighbor_global_idx,neighbor_rank,var_indices,attempts,cost,dist_nn_orig_segment,dist_cf_orig,dist_cf_nn
CASIM,random,1,0,0,14,10,10,0,"[1, 2]","[0, 1, 2]",True,14.0,12.0,"[5, 0, 9, 6, 2, 1, 8]",1,0.07142857142857142,0.08,0.07142857142857142,0.0
CASIM,random,1,0,0,14,10,10,3,"[1, 2]",,False,,,,0,,,,
CASIM,random,1,0,0,14,10,10,4,"[1, 2]",,False,,,,0,,,,
CASIM,random,1,0,0,34,14,14,2,"[0, 1]",[2],True,641.0,153.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.08235294117647059,0.05,0.08235294117647059,0.0
CASIM,random,1,0,0,56,34,34,1,[0],[1],True,247.0,6.0,"[2, 5, 9, 4, 8, 7, 0, 3, 1]",1,0.08214285714285714,0.07352941176470588,0.08214285714285714,0.0
CASIM,random,1,1,0,14,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
CASIM,random,1,1,0,14,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
CASIM,random,1,1,0,34,14,14,1,[0],"[0, 1]",True,297.0,54.0,"[6, 2]",1,0.0058823529411764705,0.07142857142857142,0.0058823529411764705,0.047058823529411764
CASIM,random,1,1,0,34,14,14,2,[0],[2],True,557.0,72.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.08529411764705883,0.02857142857142857,0.08529411764705883,0.0
CASIM,random,1,1,0,55,34,34,1,[0],[1],True,262.0,21.0,"[2, 5, 9, 4, 8, 7, 0, 3, 1]",1,0.08363636363636363,0.07647058823529412,0.08363636363636363,0.0
CASIM,random,1,2,0,14,10,10,2,"[0, 1]","[0, 1, 2]",True,713.0,222.0,"[5, 0, 9, 6, 2, 1, 8]",1,0.05714285714285714,0.08,0.05714285714285714,0.0
CASIM,random,1,2,0,14,10,10,3,"[0, 1]",,False,,,,0,,,,
CASIM,random,1,2,0,14,10,10,4,"[0, 1]",,False,,,,0,,,,
CASIM,random,1,2,0,33,14,14,2,"[0, 1]",[2],True,489.0,6.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.09090909090909091,0.06428571428571428,0.09090909090909091,0.0
CASIM,random,1,2,0,55,33,33,1,[0],[1],True,350.0,107.0,"[2, 5, 9, 4, 8, 7, 0, 3, 1]",1,0.08545454545454545,0.051515151515151514,0.08545454545454545,0.0
CASIM,random,1,3,0,14,10,10,0,"[1, 2]","[0, 1, 2]",True,30.0,27.0,"[5, 0, 9, 6, 2, 1, 8]",1,0.04285714285714286,0.04,0.04285714285714286,0.0
CASIM,random,1,3,0,14,10,10,3,"[1, 2]",,False,,,,0,,,,
CASIM,random,1,3,0,14,10,10,4,"[1, 2]","[0, 1, 2, 4]",True,1005.0,42.0,"[6, 2]",1,0.05,0.03,0.05,0.03571428571428571
CASIM,random,1,3,0,30,14,14,0,"[1, 2]","[0, 1, 2]",True,22.0,19.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.06333333333333334,0.05714285714285714,0.06333333333333334,0.0
CASIM,random,1,3,0,56,30,30,1,[0],[1],True,374.0,126.0,"[2, 5, 9, 4, 8, 7, 0, 3, 1]",1,0.08392857142857142,0.04666666666666667,0.08392857142857142,0.0
CASIM,random,1,4,0,14,10,10,1,"[0, 2]","[0, 1]",True,301.0,56.0,"[5, 0, 9, 6, 2, 1, 8]",1,0.03571428571428571,0.04,0.03571428571428571,0.0
CASIM,random,1,4,0,14,10,10,3,"[0, 2]",,False,,,,0,,,,
CASIM,random,1,4,0,14,10,10,4,"[0, 2]",,False,,,,0,,,,
CASIM,random,1,4,0,34,14,14,2,"[0, 1]",[2],True,493.0,11.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.09705882352941177,0.05714285714285714,0.09705882352941177,0.0
CASIM,random,1,4,0,55,34,34,1,[0],[1],True,411.0,163.0,"[2, 5, 9, 4, 8, 7, 0, 3, 1]",1,0.0890909090909091,0.08529411764705883,0.0890909090909091,0.0
CASIM,random,1,5,0,14,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
CASIM,random,1,5,0,14,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
CASIM,random,1,5,0,34,14,14,2,"[0, 1]",,False,,,,0,,,,
CASIM,random,1,5,0,56,34,34,1,[0],[1],True,273.0,31.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.08035714285714286,0.08235294117647059,0.08035714285714286,0.0
CASIM,random,1,6,0,14,10,10,2,"[0, 1]","[0, 1, 2]",True,488.0,7.0,"[5, 0, 9, 6, 2, 1, 8]",1,0.05714285714285714,0.06,0.05714285714285714,0.0
CASIM,random,1,6,0,14,10,10,3,"[0, 1]",,False,,,,0,,,,
CASIM,random,1,6,0,14,10,10,4,"[0, 1]",,False,,,,0,,,,
CASIM,random,1,6,0,34,14,14,2,"[0, 1]",[2],True,559.0,74.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.08529411764705883,0.05714285714285714,0.08529411764705883,0.0
CASIM,random,1,6,0,40,34,34,0,[1],"[0, 1]",True,22.0,19.0,"[2, 5, 9, 4, 8, 7, 0, 3, 1]",1,0.0625,0.061764705882352944,0.0625,0.0
CASIM,random,1,6,0,52,40,40,1,[0],[1],True,403.0,156.0,"[9, 4, 2, 0, 5]",1,0.05384615384615385,0.075,0.05384615384615385,0.021153846153846155
CASIM,random,1,7,0,14,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
CASIM,random,1,7,0,14,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
CASIM,random,1,7,0,34,14,14,1,[0],"[0, 1]",True,316.0,73.0,"[6, 2]",1,0.020588235294117647,0.09285714285714286,0.020588235294117647,0.047058823529411764
CASIM,random,1,7,0,34,14,14,2,[0],[2],True,538.0,53.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.1,0.07857142857142857,0.1,0.0
CASIM,random,1,7,0,53,34,34,1,[0],[1],True,316.0,72.0,"[2, 5, 9, 4, 8, 7, 0, 3, 1]",1,0.07924528301886792,0.06764705882352941,0.07924528301886792,0.0
CASIM,random,1,8,0,14,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
CASIM,random,1,8,0,14,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
CASIM,random,1,8,0,33,14,14,2,"[0, 1]",,False,,,,0,,,,
CASIM,random,1,8,0,55,33,33,1,[0],[1],True,411.0,163.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.08,0.08181818181818182,0.08,0.0
CASIM,random,1,9,0,14,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
CASIM,random,1,9,0,34,14,14,2,"[0, 1]",[2],True,526.0,41.0,"[0, 6, 8, 1, 9, 5, 2, 7]",1,0.09705882352941177,0.1,0.09705882352941177,0.0
CASIM,random,1,9,0,55,34,34,1,[0],,False,,,,0,,,,
CASIM,random,1,10,0,14,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
CASIM,random,1,10,0,14,10,10,4,"[0, 1, 2]","[0, 1, 2, 4]",True,1199.0,228.0,"[0, 6, 8, 1, 9, 5, 2, 7]",1,0.09285714285714286,0.05,0.09285714285714286,0.014285714285714285
CASIM,random,1,10,0,34,14,14,2,"[0, 1]",,False,,,,0,,,,
CASIM,random,1,10,0,55,34,34,1,[0],[1],True,427.0,178.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.08363636363636363,0.06764705882352941,0.08363636363636363,0.0
CASIM,random,1,11,0,14,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
CASIM,random,1,11,0,34,14,14,2,"[0, 1]",[2],True,521.0,36.0,"[0, 6, 8, 1, 9, 5, 2, 7]",1,0.08529411764705883,0.05714285714285714,0.08529411764705883,0.0
CASIM,random,1,11,0,54,34,34,1,[0],,False,,,,0,,,,
CASIM,random,1,12,0,14,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
CASIM,random,1,12,0,14,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
CASIM,random,1,12,0,34,14,14,2,"[0, 1]",,False,,,,0,,,,
CASIM,random,1,12,0,55,34,34,1,[0],[1],True,405.0,157.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.07636363636363637,0.07647058823529412,0.07636363636363637,0.0
CASIM,random,1,13,0,14,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
CASIM,random,1,13,0,14,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
CASIM,random,1,13,0,26,14,14,0,"[1, 2]",,False,,,,0,,,,
CASIM,random,1,13,0,34,26,26,2,"[0, 1]",[2],True,702.0,212.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.07647058823529412,0.06538461538461539,0.07647058823529412,0.0
CASIM,random,1,13,0,56,34,34,1,[0],[1],True,351.0,106.0,"[2, 5, 9, 4, 8, 7, 0, 3, 1]",1,0.08035714285714286,0.07352941176470588,0.08035714285714286,0.0
CASIM,random,1,14,0,14,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
CASIM,random,1,14,0,14,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
CASIM,random,1,14,0,34,14,14,2,"[0, 1]",,False,,,,0,,,,
