classifier,strategy,fold,sample_idx,true_class,bif_step,last_bif_step,start_step,target_class,orig_set,cf_set,found,neighbor_global_idx,neighbor_rank,var_indices,attempts,cost,dist_nn_orig_segment,dist_cf_orig,dist_cf_nn
EAC_KNN,greedy,1,0,0,27,10,10,3,"[0, 1, 2]","[0, 1, 2, 3]",True,885,165,"[3, 4]",10,0.04814814814814815,0.13,0.04814814814814815,0.15925925925925927
EAC_KNN,greedy,1,0,0,27,10,10,4,"[0, 1, 2]","[0, 1, 2, 4]",True,1018,58,"[1, 3, 4, 7]",21,0.1037037037037037,0.1,0.1037037037037037,0.13703703703703704
EAC_KNN,greedy,1,0,0,36,27,27,2,"[0, 1]","[1, 2]",True,702,222,[5],4,0.005555555555555556,0.06666666666666667,0.005555555555555556,0.09444444444444444
EAC_KNN,greedy,1,1,0,27,10,10,3,"[0, 1, 2]","[0, 1, 2, 3]",True,810,90,"[3, 4]",10,0.044444444444444446,0.07,0.044444444444444446,0.16296296296296298
EAC_KNN,greedy,1,1,0,27,10,10,4,"[0, 1, 2]","[0, 1, 2, 4]",True,1018,58,"[3, 4, 7]",17,0.08518518518518518,0.08,0.08518518518518518,0.17407407407407408
EAC_KNN,greedy,1,1,0,36,27,27,2,"[0, 1]","[1, 2]",True,525,45,[5],4,0.008333333333333333,0.08148148148148149,0.008333333333333333,0.09166666666666666
EAC_KNN,greedy,1,2,0,27,10,10,3,"[0, 1, 2]","[0, 1, 2, 3]",True,810,90,"[1, 3, 4]",14,0.05555555555555555,0.11,0.05555555555555555,0.14074074074074075
EAC_KNN,greedy,1,2,0,27,10,10,4,"[0, 1, 2]","[0, 1, 2, 4]",True,1091,131,"[1, 3, 4, 7]",21,0.08888888888888889,0.08,0.08888888888888889,0.15185185185185185
EAC_KNN,greedy,1,2,0,35,27,27,0,[1],"[0, 1]",True,0,0,[1],2,0.014285714285714285,0.06666666666666667,0.014285714285714285,0.05142857142857143
EAC_KNN,greedy,1,2,0,35,27,27,2,[1],"[1, 2]",True,525,45,[5],4,0.008571428571428572,0.07037037037037037,0.008571428571428572,0.08857142857142856
EAC_KNN,greedy,1,3,0,27,10,10,3,"[0, 1, 2]","[0, 1, 2, 3]",True,933,213,"[0, 1, 3, 4]",17,0.06666666666666667,0.07,0.06666666666666667,0.0962962962962963
EAC_KNN,greedy,1,3,0,27,10,10,4,"[0, 1, 2]","[0, 1, 2, 4]",True,1125,165,"[0, 1, 3, 4, 7]",24,0.1,0.04,0.1,0.1
EAC_KNN,greedy,1,3,0,36,27,27,2,"[0, 1]","[1, 2]",True,525,45,[5],4,0.008333333333333333,0.06666666666666667,0.008333333333333333,0.1
EAC_KNN,greedy,1,4,0,27,10,10,3,"[0, 1, 2]","[0, 1, 2, 3]",True,810,90,"[3, 4]",10,0.044444444444444446,0.08,0.044444444444444446,0.14074074074074075
EAC_KNN,greedy,1,4,0,27,10,10,4,"[0, 1, 2]","[0, 1, 2, 4]",True,1160,200,"[1, 3, 4, 7]",21,0.09259259259259259,0.05,0.09259259259259259,0.12962962962962962
EAC_KNN,greedy,1,4,0,36,27,27,2,"[0, 1]","[1, 2]",True,525,45,[6],5,0.011111111111111112,0.07407407407407407,0.011111111111111112,0.10277777777777777
EAC_KNN,greedy,1,5,0,27,10,10,3,"[0, 1, 2]","[0, 1, 2, 3]",True,833,113,"[3, 4]",10,0.05185185185185185,0.05,0.05185185185185185,0.15555555555555556
EAC_KNN,greedy,1,5,0,27,10,10,4,"[0, 1, 2]","[0, 1, 2, 4]",True,1183,223,"[0, 3, 4, 7]",21,0.09259259259259259,0.03,0.09259259259259259,0.14444444444444443
EAC_KNN,greedy,1,5,0,36,27,27,2,"[0, 1]","[1, 2]",True,529,49,[6],5,0.016666666666666666,0.06666666666666667,0.016666666666666666,0.08333333333333333
EAC_KNN,greedy,1,6,0,27,10,10,3,"[0, 1, 2]","[0, 1, 2, 3]",True,810,90,"[0, 3, 4]",14,0.05925925925925926,0.09,0.05925925925925926,0.12222222222222222
EAC_KNN,greedy,1,6,0,27,10,10,4,"[0, 1, 2]","[0, 1, 2, 4]",True,1008,48,"[0, 1, 3, 4, 7]",24,0.1111111111111111,0.06,0.1111111111111111,0.10740740740740741
EAC_KNN,greedy,1,6,0,36,27,27,2,"[0, 1]","[1, 2]",True,702,222,[5],4,0.005555555555555556,0.06666666666666667,0.005555555555555556,0.09166666666666666
EAC_KNN,greedy,1,7,0,27,10,10,3,"[0, 1, 2]","[0, 1, 2, 3]",True,885,165,"[3, 4]",10,0.04814814814814815,0.09,0.04814814814814815,0.17037037037037037
EAC_KNN,greedy,1,7,0,27,10,10,4,"[0, 1, 2]","[0, 1, 2, 4]",True,1008,48,"[1, 3, 4, 7]",21,0.1,0.08,0.1,0.15925925925925927
EAC_KNN,greedy,1,7,0,36,27,27,2,"[0, 1]","[1, 2]",True,717,237,[6],5,0.011111111111111112,0.08148148148148149,0.011111111111111112,0.09444444444444444
EAC_KNN,greedy,1,8,0,27,10,10,3,"[0, 1, 2]","[0, 1, 2, 3]",True,810,90,"[3, 4]",10,0.044444444444444446,0.07,0.044444444444444446,0.15185185185185185
EAC_KNN,greedy,1,8,0,27,10,10,4,"[0, 1, 2]","[0, 1, 2, 4]",True,1062,102,"[4, 6, 7]",18,0.08148148148148149,0.06,0.08148148148148149,0.15925925925925927
EAC_KNN,greedy,1,8,0,36,27,27,2,"[0, 1]","[1, 2]",True,536,56,[5],4,0.008333333333333333,0.08888888888888889,0.008333333333333333,0.1111111111111111
EAC_KNN,greedy,1,9,0,27,10,10,3,"[0, 1, 2]","[0, 1, 2, 3]",True,810,90,"[3, 4]",10,0.044444444444444446,0.09,0.044444444444444446,0.15925925925925927
EAC_KNN,greedy,1,9,0,27,10,10,4,"[0, 1, 2]","[0, 1, 2, 4]",True,1160,200,"[3, 4, 7]",17,0.07777777777777778,0.08,0.07777777777777778,0.17037037037037037
EAC_KNN,greedy,1,9,0,36,27,27,2,"[0, 1]","[1, 2]",True,525,45,[6],5,0.011111111111111112,0.08518518518518518,0.011111111111111112,0.10277777777777777
EAC_KNN,greedy,1,10,0,27,10,10,3,"[0, 1, 2]","[0, 1, 2, 3]",True,833,113,"[0, 1, 3, 4]",17,0.07037037037037037,0.05,0.07037037037037037,0.0962962962962963
EAC_KNN,greedy,1,10,0,27,10,10,4,"[0, 1, 2]","[0, 1, 2, 4]",True,1141,181,"[0, 1, 3, 4, 7]",24,0.1037037037037037,0.06,0.1037037037037037,0.1
EAC_KNN,greedy,1,10,0,36,27,27,2,"[0, 1]","[1, 2]",True,521,41,[5],4,0.011111111111111112,0.06296296296296296,0.011111111111111112,0.08611111111111111
EAC_KNN,greedy,1,11,0,27,10,10,3,"[0, 1, 2]","[0, 1, 2, 3]",True,933,213,"[0, 3, 4]",14,0.05555555555555555,0.04,0.05555555555555555,0.12222222222222222
EAC_KNN,greedy,1,11,0,27,10,10,4,"[0, 1, 2]","[0, 1, 2, 4]",True,1007,47,"[0, 3, 4, 7]",21,0.08888888888888889,0.09,0.08888888888888889,0.14814814814814814
EAC_KNN,greedy,1,11,0,36,27,27,2,"[0, 1]","[1, 2]",True,521,41,[5],4,0.011111111111111112,0.06666666666666667,0.011111111111111112,0.08888888888888889
EAC_KNN,greedy,1,12,0,27,10,10,3,"[0, 1, 2]","[0, 1, 2, 3]",True,810,90,"[3, 4]",10,0.044444444444444446,0.08,0.044444444444444446,0.15555555555555556
EAC_KNN,greedy,1,12,0,27,10,10,4,"[0, 1, 2]","[0, 1, 2, 4]",True,1125,165,"[1, 3, 4, 7]",21,0.0962962962962963,0.05,0.0962962962962963,0.14814814814814814
EAC_KNN,greedy,1,12,0,36,27,27,2,"[0, 1]","[1, 2]",True,521,41,[5],4,0.011111111111111112,0.06666666666666667,0.011111111111111112,0.08055555555555556
EAC_KNN,greedy,1,13,0,27,10,10,3,"[0, 1, 2]","[0, 1, 2, 3]",True,933,213,"[0, 1, 3, 4]",17,0.07407407407407407,0.09,0.07407407407407407,0.1259259259259259
EAC_KNN,greedy,1,13,0,27,10,10,4,"[0, 1, 2]","[0, 1, 2, 4]",True,1008,48,"[0, 1, 3, 4, 7]",24,0.1037037037037037,0.04,0.1037037037037037,0.11851851851851852
EAC_KNN,greedy,1,13,0,36,27,27,2,"[0, 1]","[1, 2]",True,702,222,[5],4,0.005555555555555556,0.06296296296296296,0.005555555555555556,0.08055555555555556
EAC_KNN,greedy,1,14,0,27,10,10,3,"[0, 1, 2]","[0, 1, 2, 3]",True,933,213,"[0, 1, 3, 4]",17,0.07037037037037037,0.03,0.07037037037037037,0.09259259259259259
EAC_KNN,greedy,1,14,0,27,10,10,4,"[0, 1, 2]","[0, 1, 2, 4]",True,1125,165,"[0, 1, 3, 4, 7]",24,0.1037037037037037,0.04,0.1037037037037037,0.1111111111111111
EAC_KNN,greedy,1,14,0,36,27,27,2,"[0, 1]","[1, 2]",True,702,222,[5],4,0.005555555555555556,0.07037037037037037,0.005555555555555556,0.09444444444444444
EAC_KNN,greedy,1,15,0,27,10,10,3,"[0, 1, 2]","[0, 1, 2, 3]",True,810,90,"[3, 4]",10,0.044444444444444446,0.07,0.044444444444444446,0.14814814814814814
EAC_KNN,greedy,1,15,0,27,10,10,4,"[0, 1, 2]","[0, 1, 2, 4]",True,1062,102,"[4, 6, 7]",18,0.08148148148148149,0.08,0.08148148148148149,0.16296296296296298
EAC_KNN,greedy,1,15,0,36,27,27,2,"[0, 1]","[1, 2]",True,568,88,[5],4,0.011111111111111112,0.07777777777777778,0.011111111111111112,0.10555555555555556
EAC_KNN,greedy,1,16,0,27,10,10,3,"[0, 1, 2]","[0, 1, 2, 3]",True,933,213,"[3, 4]",10,0.044444444444444446,0.11,0.044444444444444446,0.16666666666666666
EAC_KNN,greedy,1,16,0,27,10,10,4,"[0, 1, 2]","[0, 1, 2, 4]",True,1160,200,"[1, 3, 4, 7]",21,0.0962962962962963,0.08,0.0962962962962963,0.14444444444444443
EAC_KNN,greedy,1,16,0,35,27,27,0,[1],"[0, 1]",True,192,187,[1],2,0.017142857142857144,0.06296296296296296,0.017142857142857144,0.05714285714285714
EAC_KNN,greedy,1,16,0,35,27,27,2,[1],"[1, 2]",True,489,9,[5],4,0.008571428571428572,0.06666666666666667,0.008571428571428572,0.08285714285714285
EAC_KNN,greedy,1,17,0,27,10,10,3,"[0, 1, 2]","[0, 1, 2, 3]",True,810,90,"[3, 4]",10,0.044444444444444446,0.09,0.044444444444444446,0.14814814814814814
EAC_KNN,greedy,1,17,0,27,10,10,4,"[0, 1, 2]","[0, 1, 2, 4]",True,1160,200,"[3, 4, 7]",17,0.07777777777777778,0.08,0.07777777777777778,0.15925925925925927
EAC_KNN,greedy,1,17,0,36,27,27,2,"[0, 1]","[1, 2]",True,521,41,[5],4,0.011111111111111112,0.08148148148148149,0.011111111111111112,0.1
EAC_KNN,greedy,1,18,0,27,10,10,3,"[0, 1, 2]","[0, 1, 2, 3]",True,933,213,"[1, 3, 4]",14,0.06296296296296296,0.09,0.06296296296296296,0.1259259259259259
EAC_KNN,greedy,1,18,0,27,10,10,4,"[0, 1, 2]","[0, 1, 2, 4]",True,1018,58,"[1, 3, 4, 7]",21,0.1037037037037037,0.08,0.1037037037037037,0.12222222222222222
EAC_KNN,greedy,1,18,0,36,27,27,2,"[0, 1]","[1, 2]",True,488,8,"[5, 6]",9,0.022222222222222223,0.08148148148148149,0.022222222222222223,0.08611111111111111
EAC_KNN,greedy,1,19,0,27,10,10,3,"[0, 1, 2]","[0, 1, 2, 3]",True,810,90,"[3, 4]",10,0.044444444444444446,0.07,0.044444444444444446,0.15925925925925927
EAC_KNN,greedy,1,19,0,27,10,10,4,"[0, 1, 2]","[0, 1, 2, 4]",True,1160,200,"[3, 4, 7]",17,0.07777777777777778,0.06,0.07777777777777778,0.17037037037037037
EAC_KNN,greedy,1,19,0,36,27,27,2,"[0, 1]","[1, 2]",True,643,163,[6],5,0.013888888888888888,0.08148148148148149,0.013888888888888888,0.08888888888888889
EAC_KNN,greedy,1,20,0,27,10,10,3,"[0, 1, 2]","[0, 1, 2, 3]",True,933,213,"[0, 3, 4]",14,0.05925925925925926,0.07,0.05925925925925926,0.12962962962962962
