classifier,strategy,fold,sample_idx,true_class,bif_step,last_bif_step,start_step,target_class,orig_set,cf_set,found,neighbor_global_idx,neighbor_rank,var_indices,attempts,cost,dist_nn_orig_segment,dist_cf_orig,dist_cf_nn
EAC_KNN,random,1,0,0,27,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
EAC_KNN,random,1,0,0,27,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
EAC_KNN,random,1,0,0,36,27,27,2,"[0, 1]","[1, 2]",True,641.0,161.0,"[6, 2]",1,0.041666666666666664,0.05925925925925926,0.041666666666666664,0.05
EAC_KNN,random,1,1,0,27,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
EAC_KNN,random,1,1,0,27,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
EAC_KNN,random,1,1,0,36,27,27,2,"[0, 1]","[1, 2]",True,557.0,77.0,"[6, 2]",1,0.03888888888888889,0.05185185185185185,0.03888888888888889,0.05277777777777778
EAC_KNN,random,1,2,0,27,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
EAC_KNN,random,1,2,0,27,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
EAC_KNN,random,1,2,0,35,27,27,0,[1],"[0, 1]",True,0.0,0.0,"[6, 2]",1,0.022857142857142857,0.06666666666666667,0.022857142857142857,0.04285714285714286
EAC_KNN,random,1,2,0,35,27,27,2,[1],"[1, 2]",True,525.0,45.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.09714285714285714,0.07037037037037037,0.09714285714285714,0.0
EAC_KNN,random,1,3,0,27,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
EAC_KNN,random,1,3,0,27,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
EAC_KNN,random,1,3,0,36,27,27,2,"[0, 1]","[1, 2]",True,649.0,169.0,"[6, 2]",1,0.041666666666666664,0.04814814814814815,0.041666666666666664,0.058333333333333334
EAC_KNN,random,1,4,0,27,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
EAC_KNN,random,1,4,0,27,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
EAC_KNN,random,1,4,0,36,27,27,2,"[0, 1]","[1, 2]",True,493.0,13.0,"[6, 2]",1,0.05277777777777778,0.05925925925925926,0.05277777777777778,0.05555555555555555
EAC_KNN,random,1,5,0,27,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
EAC_KNN,random,1,5,0,27,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
