classifier,strategy,fold,sample_idx,true_class,bif_step,last_bif_step,start_step,target_class,orig_set,cf_set,found,neighbor_global_idx,neighbor_rank,var_indices,attempts,cost,dist_nn_orig_segment,dist_cf_orig,dist_cf_nn
MBW_LR,all,1,0,0,18,10,10,3,"[0, 1, 2]","[3, 4]",True,751.0,29.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.16111111111111112,0.05,0.16111111111111112,0.0
MBW_LR,all,1,0,0,18,10,10,4,"[0, 1, 2]","[3, 4]",True,1021.0,59.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.15555555555555556,0.07,0.15555555555555556,0.0
MBW_LR,all,1,0,0,33,18,18,4,"[0, 1, 2]",[4],True,1081.0,117.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.2696969696969697,0.15555555555555556,0.2696969696969697,0.0
MBW_LR,all,1,0,0,38,33,33,2,"[0, 1]",[2],True,641.0,151.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.10263157894736842,0.07878787878787878,0.10263157894736842,0.0
MBW_LR,all,1,0,0,60,38,38,1,[0],[1],True,461.0,212.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.09,0.06315789473684211,0.09,0.0
MBW_LR,all,1,1,0,18,10,10,3,"[0, 1, 2]","[3, 4]",True,889.0,161.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.17777777777777778,0.04,0.17777777777777778,0.0
MBW_LR,all,1,1,0,18,10,10,4,"[0, 1, 2]","[3, 4]",True,1101.0,136.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.17777777777777778,0.06,0.17777777777777778,0.0
MBW_LR,all,1,1,0,33,18,18,4,"[0, 1, 2]",[4],True,1199.0,228.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.2787878787878788,0.17777777777777778,0.2787878787878788,0.0
MBW_LR,all,1,1,0,38,33,33,2,"[0, 1]",[2],True,557.0,73.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.10526315789473684,0.07575757575757576,0.10526315789473684,0.0
MBW_LR,all,1,1,0,60,38,38,1,[0],[1],True,270.0,29.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.09333333333333334,0.07368421052631578,0.09333333333333334,0.0
MBW_LR,all,1,2,0,18,10,10,3,"[0, 1, 2]","[3, 4]",True,832.0,106.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.15555555555555556,0.07,0.15555555555555556,0.0
