classifier,strategy,fold,sample_idx,true_class,bif_step,last_bif_step,start_step,target_class,orig_set,cf_set,found,neighbor_global_idx,neighbor_rank,var_indices,attempts,cost,dist_nn_orig_segment,dist_cf_orig,dist_cf_nn
MBW_LR,greedy,1,0,0,18,10,10,3,"[0, 1, 2]","[3, 4]",True,843,116,[4],5,0.016666666666666666,0.1,0.016666666666666666,0.15
MBW_LR,greedy,1,0,0,18,10,10,4,"[0, 1, 2]",[4],True,984,23,[6],6,0.027777777777777776,0.07,0.027777777777777776,0.13333333333333333
MBW_LR,greedy,1,0,0,33,18,18,4,"[0, 1, 2]",[4],True,1109,145,"[1, 4, 7]",18,0.0696969696969697,0.16111111111111112,0.0696969696969697,0.20303030303030303
MBW_LR,greedy,1,0,0,38,33,33,2,"[0, 1]",[2],True,702,211,[5],4,0.007894736842105263,0.09090909090909091,0.007894736842105263,0.09736842105263158
MBW_LR,greedy,1,0,0,60,38,38,1,[0],[1],True,461,212,[7],6,0.0033333333333333335,0.06315789473684211,0.0033333333333333335,0.08666666666666667
MBW_LR,greedy,1,1,0,18,10,10,3,"[0, 1, 2]","[3, 4]",True,916,188,[4],5,0.016666666666666666,0.04,0.016666666666666666,0.16111111111111112
MBW_LR,greedy,1,1,0,18,10,10,4,"[0, 1, 2]",[4],True,1101,136,[6],6,0.016666666666666666,0.06,0.016666666666666666,0.16111111111111112
MBW_LR,greedy,1,1,0,33,18,18,4,"[0, 1, 2]",[4],True,1008,47,"[0, 4, 7]",18,0.06363636363636363,0.18888888888888888,0.06363636363636363,0.22121212121212122
MBW_LR,greedy,1,1,0,38,33,33,2,"[0, 1]",[2],True,525,41,[5],4,0.010526315789473684,0.09090909090909091,0.010526315789473684,0.1
MBW_LR,greedy,1,1,0,60,38,38,1,[0],[1],True,262,21,[3],4,0.0033333333333333335,0.06842105263157895,0.0033333333333333335,0.09166666666666666
MBW_LR,greedy,1,2,0,18,10,10,3,"[0, 1, 2]","[3, 4]",True,843,116,[4],5,0.016666666666666666,0.08,0.016666666666666666,0.1388888888888889
MBW_LR,greedy,1,2,0,18,10,10,4,"[0, 1, 2]",[4],True,1008,46,"[1, 4]",8,0.027777777777777776,0.08,0.027777777777777776,0.12777777777777777
MBW_LR,greedy,1,2,0,33,18,18,4,"[0, 1, 2]",[4],True,1008,47,"[0, 1, 4, 7]",22,0.07878787878787878,0.15555555555555556,0.07878787878787878,0.1787878787878788
MBW_LR,greedy,1,2,0,38,33,33,2,"[0, 1]",[2],True,702,211,[5],4,0.007894736842105263,0.09393939393939393,0.007894736842105263,0.11052631578947368
MBW_LR,greedy,1,2,0,60,38,38,1,[0],[1],True,350,104,[7],6,0.0033333333333333335,0.06315789473684211,0.0033333333333333335,0.09833333333333333
MBW_LR,greedy,1,3,0,18,10,10,3,"[0, 1, 2]","[3, 4]",True,758,36,[4],5,0.016666666666666666,0.03,0.016666666666666666,0.11666666666666667
