classifier,strategy,fold,sample_idx,true_class,bif_step,last_bif_step,start_step,target_class,orig_set,cf_set,found,neighbor_global_idx,neighbor_rank,var_indices,attempts,cost,dist_nn_orig_segment,dist_cf_orig,dist_cf_nn
MBW_LR,random,1,0,0,18,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
MBW_LR,random,1,0,0,18,10,10,4,"[0, 1, 2]",[4],True,1021.0,59.0,"[0, 6, 8, 1, 9, 5, 2, 7]",1,0.1111111111111111,0.07,0.1111111111111111,0.044444444444444446
MBW_LR,random,1,0,0,33,18,18,4,"[0, 1, 2]",,False,,,,0,,,,
MBW_LR,random,1,0,0,38,33,33,2,"[0, 1]",[2],True,641.0,151.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.10263157894736842,0.07878787878787878,0.10263157894736842,0.0
MBW_LR,random,1,0,0,60,38,38,1,[0],[1],True,461.0,212.0,"[2, 5, 9, 4, 8, 7, 0, 3, 1]",1,0.09,0.06315789473684211,0.09,0.0
MBW_LR,random,1,1,0,18,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
MBW_LR,random,1,1,0,18,10,10,4,"[0, 1, 2]",[4],True,1101.0,136.0,"[0, 6, 8, 1, 9, 5, 2, 7]",1,0.13333333333333333,0.06,0.13333333333333333,0.044444444444444446
MBW_LR,random,1,1,0,33,18,18,4,"[0, 1, 2]",,False,,,,0,,,,
MBW_LR,random,1,1,0,38,33,33,2,"[0, 1]",[2],True,557.0,73.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.10526315789473684,0.07575757575757576,0.10526315789473684,0.0
MBW_LR,random,1,1,0,60,38,38,1,[0],[1],True,270.0,29.0,"[2, 5, 9, 4, 8, 7, 0, 3, 1]",1,0.09333333333333334,0.07368421052631578,0.09333333333333334,0.0
MBW_LR,random,1,2,0,18,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
MBW_LR,random,1,2,0,18,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
MBW_LR,random,1,2,0,33,18,18,4,"[0, 1, 2]",,False,,,,0,,,,
MBW_LR,random,1,2,0,38,33,33,2,"[0, 1]",[2],True,525.0,41.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.11315789473684211,0.09393939393939393,0.11315789473684211,0.0
MBW_LR,random,1,2,0,60,38,38,1,[0],[1],True,350.0,104.0,"[2, 5, 9, 4, 8, 7, 0, 3, 1]",1,0.10166666666666667,0.06315789473684211,0.10166666666666667,0.0
MBW_LR,random,1,3,0,18,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
MBW_LR,random,1,3,0,18,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
MBW_LR,random,1,3,0,33,18,18,4,"[0, 1, 2]",,False,,,,0,,,,
MBW_LR,random,1,3,0,38,33,33,2,"[0, 1]",[2],True,649.0,159.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.10789473684210527,0.07272727272727272,0.10789473684210527,0.0
MBW_LR,random,1,3,0,60,38,38,1,[0],[1],True,374.0,127.0,"[2, 5, 9, 4, 8, 7, 0, 3, 1]",1,0.09166666666666666,0.05789473684210526,0.09166666666666666,0.0
MBW_LR,random,1,4,0,18,10,10,3,"[0, 1, 2]",,False,,,,0,,,,
MBW_LR,random,1,4,0,18,10,10,4,"[0, 1, 2]",,False,,,,0,,,,
MBW_LR,random,1,4,0,33,18,18,4,"[0, 1, 2]",,False,,,,0,,,,
MBW_LR,random,1,4,0,38,33,33,2,"[0, 1]",[2],True,493.0,12.0,"[1, 8, 7, 5, 4, 9, 0, 3, 6, 2]",1,0.12631578947368421,0.09090909090909091,0.12631578947368421,0.0
