classifier,strategy,fold,sample_idx,true_class,bif_step,last_bif_step,start_step,target_class,orig_set,cf_set,found,neighbor_global_idx,neighbor_rank,var_indices,attempts,cost,dist_nn_orig_segment,dist_cf_orig,dist_cf_nn
WDI_KNN,all,1,0,0,17,10,10,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,833,113,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.1411764705882353,0.09,0.1411764705882353,0.0
WDI_KNN,all,1,0,0,56,17,17,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,810,90,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.2375,0.17647058823529413,0.2375,0.0
WDI_KNN,all,1,1,0,17,10,10,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,833,113,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.14705882352941177,0.05,0.14705882352941177,0.0
WDI_KNN,all,1,1,0,56,17,17,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,810,90,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.24821428571428572,0.19411764705882353,0.24821428571428572,0.0
WDI_KNN,all,1,2,0,17,10,10,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,833,113,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.1411764705882353,0.09,0.1411764705882353,0.0
WDI_KNN,all,1,2,0,56,17,17,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,810,90,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.25892857142857145,0.18823529411764706,0.25892857142857145,0.0
WDI_KNN,all,1,3,0,17,10,10,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,833,113,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.1,0.05,0.1,0.0
WDI_KNN,all,1,3,0,56,17,17,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,810,90,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.2375,0.14705882352941177,0.2375,0.0
WDI_KNN,all,1,4,0,17,10,10,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,833,113,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.12352941176470589,0.08,0.12352941176470589,0.0
WDI_KNN,all,1,4,0,56,17,17,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,810,90,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.24107142857142858,0.1588235294117647,0.24107142857142858,0.0
WDI_KNN,all,1,5,0,17,10,10,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,833,113,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.13529411764705881,0.05,0.13529411764705881,0.0
WDI_KNN,all,1,5,0,56,17,17,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,810,90,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.24642857142857144,0.18235294117647058,0.24642857142857144,0.0
WDI_KNN,all,1,6,0,17,10,10,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,833,113,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.11764705882352941,0.07,0.11764705882352941,0.0
WDI_KNN,all,1,6,0,56,17,17,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,810,90,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.2375,0.16470588235294117,0.2375,0.0
WDI_KNN,all,1,7,0,17,10,10,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,833,113,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.1411764705882353,0.07,0.1411764705882353,0.0
WDI_KNN,all,1,7,0,56,17,17,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,810,90,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.24821428571428572,0.17647058823529413,0.24821428571428572,0.0
WDI_KNN,all,1,8,0,17,10,10,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,833,113,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.11176470588235295,0.05,0.11176470588235295,0.0
WDI_KNN,all,1,8,0,56,17,17,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,810,90,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.24642857142857144,0.1588235294117647,0.24642857142857144,0.0
WDI_KNN,all,1,9,0,17,10,10,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,833,113,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.14705882352941177,0.09,0.14705882352941177,0.0
WDI_KNN,all,1,9,0,56,17,17,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,810,90,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.25892857142857145,0.18235294117647058,0.25892857142857145,0.0
WDI_KNN,all,1,10,0,17,10,10,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,833,113,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.1,0.05,0.1,0.0
WDI_KNN,all,1,10,0,56,17,17,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,810,90,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.23392857142857143,0.17058823529411765,0.23392857142857143,0.0
WDI_KNN,all,1,11,0,17,10,10,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,833,113,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.11764705882352941,0.06,0.11764705882352941,0.0
WDI_KNN,all,1,11,0,56,17,17,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,810,90,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.2571428571428571,0.17647058823529413,0.2571428571428571,0.0
WDI_KNN,all,1,12,0,17,10,10,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,833,113,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.1411764705882353,0.06,0.1411764705882353,0.0
WDI_KNN,all,1,12,0,56,17,17,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,810,90,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.2517857142857143,0.18823529411764706,0.2517857142857143,0.0
WDI_KNN,all,1,13,0,17,10,10,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,833,113,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.12941176470588237,0.07,0.12941176470588237,0.0
WDI_KNN,all,1,13,0,56,17,17,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,810,90,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.2375,0.16470588235294117,0.2375,0.0
WDI_KNN,all,1,14,0,17,10,10,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,933,212,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.11176470588235295,0.03,0.11176470588235295,0.0
WDI_KNN,all,1,14,0,56,17,17,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,810,90,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.24285714285714285,0.1588235294117647,0.24285714285714285,0.0
WDI_KNN,all,1,15,0,17,10,10,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,833,113,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.1411764705882353,0.09,0.1411764705882353,0.0
WDI_KNN,all,1,15,0,56,17,17,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,810,90,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.2517857142857143,0.16470588235294117,0.2517857142857143,0.0
WDI_KNN,all,1,16,0,17,10,10,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,833,113,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.14705882352941177,0.09,0.14705882352941177,0.0
WDI_KNN,all,1,16,0,56,17,17,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,810,90,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.24642857142857144,0.17058823529411765,0.24642857142857144,0.0
WDI_KNN,all,1,17,0,17,10,10,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,833,113,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.1411764705882353,0.09,0.1411764705882353,0.0
WDI_KNN,all,1,17,0,56,17,17,3,"[0, 1, 2, 4]","[1, 2, 3, 4]",True,810,90,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,0.2392857142857143,0.17647058823529413,0.2392857142857143,0.0
