classifier,strategy,fold,sample_idx,true_class,bif_step,last_bif_step,start_step,target_class,orig_set,cf_set,found,neighbor_global_idx,neighbor_rank,var_indices,attempts,cost,dist_nn_orig_segment,dist_cf_orig,dist_cf_nn
WDI_KNN,random,1,0,0,17,10,10,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,0,0,56,17,17,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,1,0,17,10,10,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,1,0,56,17,17,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,2,0,17,10,10,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,2,0,56,17,17,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,3,0,17,10,10,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,3,0,56,17,17,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,4,0,17,10,10,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,4,0,56,17,17,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,5,0,17,10,10,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,5,0,56,17,17,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,6,0,17,10,10,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,6,0,56,17,17,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,7,0,17,10,10,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,7,0,56,17,17,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,8,0,17,10,10,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,8,0,56,17,17,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,9,0,17,10,10,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,9,0,56,17,17,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,10,0,17,10,10,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,10,0,56,17,17,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,11,0,17,10,10,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,11,0,56,17,17,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,12,0,17,10,10,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,12,0,56,17,17,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,13,0,17,10,10,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,13,0,56,17,17,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,14,0,17,10,10,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,14,0,56,17,17,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,15,0,17,10,10,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,15,0,56,17,17,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,16,0,17,10,10,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,16,0,56,17,17,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,17,0,17,10,10,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,17,0,56,17,17,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,18,0,17,10,10,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,18,0,56,17,17,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,19,0,17,10,10,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,19,0,56,17,17,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,20,0,17,10,10,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,20,0,56,17,17,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,21,0,17,10,10,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,21,0,56,17,17,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,22,0,17,10,10,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,22,0,56,17,17,3,"[0, 1, 2, 4]",,False,,,,0,,,,
WDI_KNN,random,1,23,0,17,10,10,3,"[0, 1, 2, 4]",,False,,,,0,,,,
